ai_academic_entity,country,link
SKAILAB,Algeria,http://skailab.algeria-ai.com/
The Applied Artificial Intelligence Laboratory (AAIL),Argentina,https://liaa.dc.uba.ar/
Artificial Intelligence Research and Development Laboratory - LIDIA,Argentina,http://lidia.cs.uns.edu.ar/home/
IALAB,Argentina,https://ialab.com.ar/
DHARMA Artificial Intelligence Lab at UTN,Argentina,http://dharma.frm.utn.edu.ar/en
Machine Intelligence Lab CETYS Universidad de San Andreas,Argentina,https://udesa.edu.ar/cetys/machine-intelligence-lab
YerevaNN research lab,Armenia,https://yerevann.com/
AiLab,Australia,https://www.ailab.com.au/
Humanising Machine Intelligence Australian National University,Australia,https://hmi.anu.edu.au/
School of Electrical and Electronic Engineering,Australia,https://ecms.adelaide.edu.au/electrical-electronic-engineering/
The Cloud Computing and Distributed Systems Laboratory,Australia,http://www.cloudbus.org/
Institute of Science and Technology,Austria,http://www.ist.ac.at
"Center for Digital Safety & Security, AIT – Austrian Institute of Technology, Vienna",Austria,https://www.ait.ac.at/en/about-the-ait/center/center-for-digital-safety-security/
"Control of Networked Systems Group, Universität Klagenfurt, Department of Smart System Technologies, Klagenfurt",Austria,https://www.aau.at/en/smart-systems-technologies/control-of-networked-systems/
"Department of Applied Informatics, Alpen-Adria-Universität Klagenfurt, Klagenfurt",Austria,https://www.aau.at/en/isys/
"Inst. for Computer Graphics and Vision, Graz University of Technology, Graz",Austria,https://www.tugraz.at/institutes/icg/home/
"Institute for Formal Models and Verification, Johannes Kepler University, Linz",Austria,https://www.jku.at/en/institute-for-formal-models-and-verification/
"Institute of Computational Perception, Johannes Kepler University Linz",Austria,https://www.jku.at/en/institute-of-computational-perception/
"Institute of Logic and Computation, Technische Universität Wien, Vienna",Austria,https://informatics.tuwien.ac.at/orgs/e192
DBAI – Databases and Artificial Intelligence Group...,Austria,https://dbai.tuwien.ac.at/
"Know-Center Gmbh – Research Center for Data-driven Business and Big Data Analytics, Graz",Austria,https://www.know-center.tugraz.at/
"Institute for Interactive Systems and Data Science, Graz University of Technology & Know-Center",Austria,https://www.tugraz.at/institutes/isds/home/
"Privacy and Sustainable Computing Lab/Institute for Information Business, Vienna University of Economics and Business, Vienna",Austria,https://www.wu.ac.at/en/dpkm
"Research Group Data Mining, Faculty of Computer Science, Data Science, Uni Vienna, Vienna",Austria,https://dm.cs.univie.ac.at/
"Research Group for Heuristic and Evolutionary Algorithms (HEAL), University of Applied Sciences Upper Austria",Austria,https://heal.heuristiclab.com/
"Section for Artificial Intelligence & Decision Support, Medical University of Vienna",Austria,http://www.ai.meduniwien.ac.at/en/
Software Competence Center Hagenberg,Austria,https://www.scch.at/en/news
"DIGITAL - Institute for Information and Communication Technologies, JOANNEUM RESEARCH",Austria,http://www.joanneum.at/en/digital
"Artificial Intelligence Lab, Vrije Universiteit Brussel",Belgium,https://ai.vub.ac.be/
"BeCool and Machine Learning Group, ICTEAM, UCLouvain, Louvain-la-Neuve",Belgium,https://uclouvain.be/fr/node/1769
"Beyond the Horizon International Strategic Studies Group, Brussels",Belgium,https://behorizon.org/
"Business Informatics research group @ Hasselt University, Hasselt University, Hasselt",Belgium,http://businessinformatics.be
"CLiPS Computational Linguistics Group, University of Antwerp, Antwerp",Belgium,https://www.uantwerpen.be/en/research-groups/clips/
"Department of Computer Science, KU Leuven, Leuven",Belgium,https://wms.cs.kuleuven.be/cs/
Lab for Declarative Languages and Artificial Intelligence,Belgium,https://dtai.cs.kuleuven.be/
"EAVISE (Vision — AI — Embedded), KU Leuven",Belgium,https://iiw.kuleuven.be/onderzoek/eavise
"IMEC, Leuven",Belgium,https://www.imec-int.com/en
"IDLab, Ghent University – imec",Belgium,https://www.ugent.be/ea/idlab/en/
"IDLab, IMEC – University of Antwerp",Belgium,https://www.uantwerpen.be/en/research-groups/idlab/
"Machine Learning Group, Université Libre de Bruxelles, Brussels",Belgium,https://mlg.ulb.ac.be/wordpress/
"MONA, VITO, Mol",Belgium,https://mona.health/
"UGent.ai, Ghent University, Ghent",Belgium,https://ai.ugent.be/index.en.html
"VUB Data Lab, Vrije Universiteit Brussel (VUB), Brussels",Belgium,https://data-lab.be/about.php
"ASPL – Applied Signal Processing Laboratory, Technical University of Varna, Varna",Bulgaria,http://tu-varna.bg/aspl/index.php?lang=en
"Institute of Information and Communication Technologies, Bulgarian Academy of Sciences, Sofia",Bulgaria,http://www.iict.bas.bg/EN/index.html
Mila,Canada,https://mila.quebec/en/
Vector Institute,Canada,https://vectorinstitute.ai/
"Center for AI Decision-making and Action, University of British Columbia",Canada,https://caida.ubc.ca/
"UNC Artificial Intelligence (AI), Machine Learning and Data Science",China,https://sph.unc.edu/research/artificial-intelligence-ai-machine-learning-and-data-science/
"Computational Cognition Lab, Open University of Cyprus, Nicosia",Cyprus,https://cognition.ouc.ac.cy/cclab/
"Research Center on Interactive Media, Smart Systems, and Emerging Technologies, Nicosia (RISE)",Cyprus,https://www.rise.org.cy/en-gb/
"Republic - Czech Institute of Informatics, Robotics and Cybernetics (CIIRC CTU)",Czech,https://www.ciirc.cvut.cz/
Republic - Automated Reasoning Group,Czech,http://arg.ciirc.cvut.cz/
"Republic - UTIA – Pattern Recognition Dep., Institute of Information Theory and Automation, The Czech Academy of Sciences, Prague",Czech,http://ro.utia.cas.cz/
Republic - Institute of Computer Science (CAS ICS) @ The Czech Academy of Sciences,Czech,https://www.cs.cas.cz/en
NOVI 9 - Computer Science Faculty of Aalborg University,Denmark,https://www.cs.aau.dk/
"Copenhagen Natural Language Understanding Group, The University of Copenhagen, Copenhagen",Denmark,http://www.copenlu.com/
"The Maersk Mc-Kinney Moller Institute, University of Southern Denmark, Odense",Denmark,https://www.sdu.dk/en/om_sdu/institutter_centre/mmmi_maersk_mckinney_moeller.aspx
"Constraint Reasoning and Optimization Group, University of Helsinki, Helsinki",Finland,https://www.helsinki.fi/en/researchgroups/constraint-reasoning-and-optimization
Finnish Center for Artificial Intelligence – Aalto University,Finland,https://fcai.fi/contact-us
Finnish Center for Artificial Intelligence - University of Helsinki,Finland,https://fcai.fi/contact-us
Finnish Center for Artificial Intelligence - VTT Technical Research Center of Finland,Finland,https://fcai.fi/contact-us
"Multiobjective Optimization Group and DEMO Group, University of Jyvaskyla",Finland,http://www.mit.jyu.fi/optgroup/
"Institute of Information Technology, JAMK University of Applied Sciences, Jyväskylä",Finland,https://www.jamk.fi/en/research-and-development/rdi-projects/artificial-intelligence-and-data-analysis/home/
"Turku School of Economics, University of Turku",Finland,https://www.utu.fi/en/university/turku-school-of-economics
CEREMADE,France,https://www.ceremade.dauphine.fr/fr/presentation.html
Institut de Recherche en Informatique de Toulouse,France,https://www.irit.fr/
Inria,France,http://www.inria.fr
Institut de Recherche en Informatique de Toulouse,France,https://www.irit.fr/
"AI-driven Business, Rennes School of Business, Rennes",France,https://www.aibusiness.eu/
"ANITI – Artificial and Natural Intelligence Toulouse, Université Fédérale Toulouse Midi-Pyrénées, Toulouse",France,https://en.univ-toulouse.fr/aniti
"Centre de Recherche en Informatique (CRI), Université Paris 1 Panthéon-Sorbonn, Paris",France,https://www.pantheonsorbonne.fr/unites-de-recherche/cri/about-us/
"CRIL – Centre de Recherche en Informatique de Lens, Artois University & CNRS, Lens",France,http://www.cril.univ-artois.fr/en/
"Heudiasyc Laboratory (Heuristic and Diagnostic for Complex Systems), University of Technology of Compiègne/French National Centre for Scientific Research, Compiègne",France,https://www.hds.utc.fr/en.html
"IRIT – Institut de Recherche en Informatique de Toulouse, Univ. Toulouse CNRS, Toulouse",France,https://www.irit.fr/en/research/application-areas/action-scientifc-computing-big-data-ai/
"ISIR – Institut des Systèmes Intelligents et de Robotique, Sorbonne Université, Paris",France,http://www.isir.upmc.fr/
"LERIA – Laboratoire d’Etude et de de Recherche en Informatique d’Angers, Université d’Angers, Angers",France,http://blog.univ-angers.fr/leria/
"LIMSI – Laboratoire d’Informatique pour la Mécanique et les Sciences de l’Ingénieur, CNRS Orsay France",France,https://www.limsi.fr/en/
"LaBRI – Bordeaux Laboratory in Computer Science, University of Bordeaux / CNRS / INRIA, Bordeaux",France,https://www.labri.fr/
"LAB-STICC, ENIB, Brest",France,https://www.labsticc.fr/en/index/
"LAMSADE, Université Paris-Dauphine",France,https://www.lamsade.dauphine.fr/
"LIFEWARE group, Inria Saclay Ile de France, Palaiseau",France,http://lifeware.inria.fr/wiki/Main/HomePage
LTSI (Laboratoire Traitement du Signal et de l'Image),France,https://www.ltsi.univ-rennes1.fr/
"MIAI (Multidisciplinary Institute in Artificial intelligence) @Grenoble Alpes, Université Grenoble Alpes, Grenoble",France,https://miai.univ-grenoble-alpes.fr/miai-institute/
"LIG – Laboratoire d’Informatique de Grenoble, Univ. Grenoble Alpes, CNRS, Grenoble",France,https://www.liglab.fr/en/presentation/laboratory-overview
"LIP6, Sorbonne University, Paris",France,https://www.lip6.fr/?LANG=en
"LIRMM (pôle IA), University of Montpellier, Montpellier",France,http://www.lirmm.fr/
"LSIS – Laboratory for Sciences of information and Systems, Induction for Behavior Modeling (in4Be) Research Group, Aix Marseille University, Marseille",France,https://www.lis-lab.fr/en/home/
"Modal project-team, Inria, Lille",France,https://team.inria.fr/modal/
"ORKAD Group (Operational Research, Knowledge And Data), University of Lille, Lille",France,http://orkad.univ-lille.fr/
"PRIVATICS, INRIA, Sophia Antipolis",France,https://team.inria.fr/privatics/
Laboratoire Hubert Curien @ University Jean Monnet of Saint-Etienne / CNRS,France,https://laboratoirehubertcurien.univ-st-etienne.fr
Department of Empirical Inference,Germany,https://ei.is.tuebingen.mpg.de/
Max Planck Institut Für Informatik,Germany,https://www.mpi-inf.mpg.de/home/
Autonome Intelligente Systeme,Germany,http://ais.informatik.uni-freiburg.de/
Max Planck Institute for Informatics,Germany,https://www.mpi-inf.mpg.de
Max Planck Institute for Intelligent Systems,Germany,https://www.is.mpg.de/en/
AI.DA (AI at TU Darmstadt),Germany,https://www.ai-da.tu-darmstadt.de/
"Algorithm Engineering, Hasso Plattner Institute, Potsdam",Germany,https://hpi.de/friedrich/home.html
"Applied Computational Linguistics: Discourse Research Lab, University of Potsdam, Potsdam",Germany,http://angcl.ling.uni-potsdam.de/
Artificial General Intelligence Sentinel Initiative (AGISI),Germany,http://www.agisi.org/about.html
"Artificial Intelligence Lab, Otto von Guericke University Magdeburg",Germany,http://ai.ovgu.de/
"Artificial Intelligence Research Group, Harz University of Applied Sciences, Wernigerode",Germany,http://artint.hs-harz.de/
"Autonomous Intelligent Systems, University of Freiburg",Germany,http://ais.informatik.uni-freiburg.de/
"Autonomous Intelligent Systems Lab, University of Bonn",Germany,http://www.ais.uni-bonn.de/research.html
"Autonomous System, University of Applied Science Gelsenkirchen, Gelsenkirchen",Germany,http://homepage.informatik.w-hs.de/HSurmann/
"Big Data Analytics Group, Saarland University, Saarbrücken",Germany,https://bigdata.uni-saarland.de/research/research.php
"Bremen Spatial Cognition Center, University of Bremen",Germany,https://bscc.spatial-cognition.de/
"Chair of Automata Theory, TU Dresden, Dresden",Germany,https://tu-dresden.de/ing/informatik/thi/lat?set_language=en
"Cognitive Systems Group, University of Bamberg",Germany,https://www.uni-bamberg.de/en/cogsys/
